label,color
Ceramide (35.8%),#636EFA
Deoxy-Ceramide (9.8%),#EF553B
Dihydro-Ceramide (0.8%),#00CC96
Dihydro-Deoxy-Ceramide (3.5%),#AB63FA
FA 16:0 (18.3%),#FFA15A
FA 18:0 (3.2%),#19D3F3
FA 20:0 (1.9%),#FF6692
FA 22:0 (16.9%),#B6E880
FA 23:0 (5.0%),#FF97FF
FA 24:0 (31.3%),#FECB52
FA 24:1 (21.1%),#636EFA
Hex-(n)-Ceramide (43.1%),#EF553B
Others (0.8%),#00CC96
Others (2.2%),#AB63FA
Others (3.8%),#FFA15A
SPB 16:1;2 (2.6%),#19D3F3
SPB 18:0;1 (3.0%),#FF6692
SPB 18:1;1 (9.8%),#B6E880
SPB 18:1;2 (74.0%),#FF97FF
SPB 18:2;2 (6.7%),#FECB52
Sphingadiene-Ceramide (6.1%),#636EFA
