,lipid,source_label,target_label,source_node,target_node,value,ratio
0,Cer(18:0;1/16:0),SPB 18:0;1 (3.0%),Dihydro-Deoxy-Ceramide (3.5%),SPB 18:0;1,Dihydro-Deoxy-Ceramide,0.21078970842644962,0.13780727359952208
1,Cer(18:0;1/20:0),SPB 18:0;1 (3.0%),Dihydro-Deoxy-Ceramide (3.5%),SPB 18:0;1,Dihydro-Deoxy-Ceramide,0.23212074516539588,0.1517527932265921
2,Cer(18:0;1/22:0),SPB 18:0;1 (3.0%),Dihydro-Deoxy-Ceramide (3.5%),SPB 18:0;1,Dihydro-Deoxy-Ceramide,0.8605265740978335,0.5625835431986366
3,Cer(18:0;1/23:0),SPB 18:0;1 (3.0%),Dihydro-Deoxy-Ceramide (3.5%),SPB 18:0;1,Dihydro-Deoxy-Ceramide,0.1283984188475144,0.08394259932305688
4,Cer(18:0;1/24:0),SPB 18:0;1 (3.0%),Dihydro-Deoxy-Ceramide (3.5%),SPB 18:0;1,Dihydro-Deoxy-Ceramide,1.5765896109639803,1.0307216490509414
5,Cer(18:0;1/24:1),SPB 18:0;1 (3.0%),Dihydro-Deoxy-Ceramide (3.5%),SPB 18:0;1,Dihydro-Deoxy-Ceramide,1.590231020988747,1.0396399474707252
6,Cer(18:1;1/18:0),SPB 18:1;1 (9.8%),Deoxy-Ceramide (9.8%),SPB 18:1;1,Deoxy-Ceramide,0.6861474018215314,0.4485802624724168
7,Cer(18:1;1/20:0),SPB 18:1;1 (9.8%),Deoxy-Ceramide (9.8%),SPB 18:1;1,Deoxy-Ceramide,0.8858571170824738,0.5791438064750897
8,Cer(18:1;1/22:0),SPB 18:1;1 (9.8%),Deoxy-Ceramide (9.8%),SPB 18:1;1,Deoxy-Ceramide,2.929996645990447,1.915533981492155
9,Cer(18:1;1/23:0),SPB 18:1;1 (9.8%),Deoxy-Ceramide (9.8%),SPB 18:1;1,Deoxy-Ceramide,0.8381872126258423,0.5479788145266792
10,Cer(18:1;1/24:0),SPB 18:1;1 (9.8%),Deoxy-Ceramide (9.8%),SPB 18:1;1,Deoxy-Ceramide,4.8775705338351605,3.1887927644803673
11,Cer(18:1;1/24:1),SPB 18:1;1 (9.8%),Deoxy-Ceramide (9.8%),SPB 18:1;1,Deoxy-Ceramide,4.595057384602701,3.0040950999578855
12,Cer(18:1;1/26:1),SPB 18:1;1 (9.8%),Deoxy-Ceramide (9.8%),SPB 18:1;1,Deoxy-Ceramide,0.23966764299183882,0.15668670305245608
13,Hex1Cer(32:1;2),SPB 16:1;2 (2.6%),Hex-(n)-Ceramide (43.1%),SPB 16:1;2,Hex-(n)-Ceramide,0.10521850374174366,0.06878834474943168
14,Hex3Cer(32:1;2),SPB 16:1;2 (2.6%),Hex-(n)-Ceramide (43.1%),SPB 16:1;2,Hex-(n)-Ceramide,0.16007106480485062,0.10464911777524402
15,Cer(16:1;2/22:0),SPB 16:1;2 (2.6%),Ceramide (35.8%),SPB 16:1;2,Ceramide,0.6474917104792998,0.4233084620949504
16,Hex1Cer(16:1;2/22:0),SPB 16:1;2 (2.6%),Hex-(n)-Ceramide (43.1%),SPB 16:1;2,Hex-(n)-Ceramide,1.52390627617997,0.9962790437410689
17,Cer(16:1;2/24:0),SPB 16:1;2 (2.6%),Ceramide (35.8%),SPB 16:1;2,Ceramide,0.7108604184648112,0.464736807644632
18,Cer(16:1;2/24:1),SPB 16:1;2 (2.6%),Ceramide (35.8%),SPB 16:1;2,Ceramide,0.8234492762098812,0.5383436437627546
19,Cer(16:1;2/24:2),SPB 16:1;2 (2.6%),Ceramide (35.8%),SPB 16:1;2,Ceramide,0.03339455906841559,0.021832247753605663
20,Cer(34:1;2),SPB 18:1;2 (74.0%),Ceramide (35.8%),SPB 18:1;2,Ceramide,6.009371441382112,3.928726409679808
21,Hex1Cer(18:1;2/16:0),SPB 18:1;2 (74.0%),Hex-(n)-Ceramide (43.1%),SPB 18:1;2,Hex-(n)-Ceramide,8.866585907843934,5.796677832220938
22,Hex2Cer(18:1;2/16:0),SPB 18:1;2 (74.0%),Hex-(n)-Ceramide (43.1%),SPB 18:1;2,Hex-(n)-Ceramide,10.186462611844046,6.65956915373555
23,Cer(35:1;2),SPB 18:1;2 (74.0%),Ceramide (35.8%),SPB 18:1;2,Ceramide,0.3265852248380644,0.21351051609108493
24,Cer(18:1;2/18:0),SPB 18:1;2 (74.0%),Ceramide (35.8%),SPB 18:1;2,Ceramide,2.171129113258292,1.4194117253835068
25,Hex1Cer(18:1;2/18:0),SPB 18:1;2 (74.0%),Hex-(n)-Ceramide (43.1%),SPB 18:1;2,Hex-(n)-Ceramide,1.1532699725856603,0.7539694031204571
26,Hex2Cer(18:1;2/18:0),SPB 18:1;2 (74.0%),Hex-(n)-Ceramide (43.1%),SPB 18:1;2,Hex-(n)-Ceramide,0.4008649661968599,0.26207213096662796
27,Cer(18:1;2/19:0),SPB 18:1;2 (74.0%),Ceramide (35.8%),SPB 18:1;2,Ceramide,0.13352450144103029,0.08729386097492675
28,Cer(18:1;2/20:0),SPB 18:1;2 (74.0%),Ceramide (35.8%),SPB 18:1;2,Ceramide,1.03735074958994,0.6781852853944761
29,Hex2Cer(18:1;2/20:0),SPB 18:1;2 (74.0%),Hex-(n)-Ceramide (43.1%),SPB 18:1;2,Hex-(n)-Ceramide,0.3466208431109762,0.22660913437601954
30,Cer(18:1;2/22:0),SPB 18:1;2 (74.0%),Ceramide (35.8%),SPB 18:1;2,Ceramide,6.1077044494054045,3.9930132472189284
31,Hex1Cer(18:1;2/22:0),SPB 18:1;2 (74.0%),Hex-(n)-Ceramide (43.1%),SPB 18:1;2,Hex-(n)-Ceramide,9.370764492043575,6.1262929572404925
32,Hex2Cer(18:1;2/22:0),SPB 18:1;2 (74.0%),Hex-(n)-Ceramide (43.1%),SPB 18:1;2,Hex-(n)-Ceramide,1.8664819063100229,1.2202435529302522
33,Cer(18:1;2/22:2),SPB 18:1;2 (74.0%),Ceramide (35.8%),SPB 18:1;2,Ceramide,0.1000241077357246,0.06539242206929048
34,Cer(18:1;2/23:0),SPB 18:1;2 (74.0%),Ceramide (35.8%),SPB 18:1;2,Ceramide,2.5821263861788877,1.6881080201923622
